id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779567.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990.0,-470.0,500.0,0.21,-0.1,0.16,20.0,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.09,0.46,,,0.94318,,,19.0,-1.7,3.8
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999739.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150.0,-480.0,430.0,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.07,0.012,,,0.99,,,17.6,-1.2,2.1
GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855.2,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65.0,-11.0,11.0,47.0,-13.0,15.0,17.3,-0.5,0.5,1290.0,-650.0,1130.0,-0.29,-0.31,0.42,112.0,-16.0,20.0,47.5,-7.5,9.6,,,,0.25,-0.12,0.18,0.00018,,,0.99,,,107.0,-15.0,18.0
GW191113_071753-v1,GW191113_071753,1,GWTC-3-confident,1257664691.8,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,29.0,-14.0,12.0,5.9,-1.3,4.4,7.9,-1.1,0.5,1370.0,-620.0,1150.0,0.0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1.0,1.1,,,,0.26,-0.11,0.18,26.0,,,0.68339,,,34.0,-10.0,11.0
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804397.6,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620.0,-740.0,740.0,0.21,-0.11,0.15,20.7,-2.0,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.12,3.2,,,0.70041,,,19.6,-2.0,3.5
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866165.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53.0,-20.0,47.0,24.0,-14.0,17.0,9.2,-0.6,0.7,3400.0,-1900.0,3100.0,0.18,-0.36,0.34,80.0,-22.0,39.0,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.48622,,,76.0,-21.0,39.0
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047.1,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790.0,-330.0,260.0,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.05,1e-05,,,0.99,,,16.8,-1.2,2.5
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492747.5,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-6.0,11.0,19.3,-6.0,5.6,8.8,-0.6,0.4,1800.0,-1100.0,1700.0,0.05,-0.27,0.26,47.2,-8.0,9.2,19.8,-3.3,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45.0,-7.6,8.6
GW191204_171526-v1,GW191204_171526,1,GWTC-3-confident,1259514944.0,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,11.9,-1.8,3.3,8.2,-1.6,1.4,17.5,-0.2,0.2,650.0,-250.0,190.0,0.16,-0.05,0.08,20.21,-0.96,1.7,8.55,-0.27,0.38,,,,0.13,-0.05,0.04,1e-05,,,0.99,,,19.21,-0.95,1.79
GW191215_223052-v1,GW191215_223052,1,GWTC-3-confident,1260484270.3,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930.0,-860.0,890.0,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,,,,0.35,-0.14,0.13,1e-05,,,0.99,,,41.4,-4.1,5.1
GW191216_213338-v1,GW191216_213338,1,GWTC-3-confident,1260567236.4,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,12.1,-2.3,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340.0,-130.0,120.0,0.11,-0.06,0.13,19.81,-0.94,2.69,8.33,-0.19,0.22,,,,0.07,-0.03,0.02,1e-05,,,0.99,,,18.87,-0.94,2.8
GW191219_163120-v1,GW191219_163120,1,GWTC-3-confident,1260808298.4,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550.0,-160.0,250.0,0.0,-0.09,0.07,32.3,-2.7,2.2,4.32,-0.17,0.12,,,,0.11,-0.03,0.05,4.0,,,0.8224,,,32.2,-2.7,2.2
GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955.1,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8.0,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000.0,-1700.0,1700.0,-0.04,-0.25,0.2,79.0,-11.0,16.0,33.8,-5.0,7.1,,,,0.51,-0.26,0.23,1e-05,,,0.99,,,75.5,-9.9,15.3
GW191230_180458-v1,GW191230_180458,1,GWTC-3-confident,1261764316.4,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,49.4,-9.6,14.0,37.0,-12.0,11.0,10.4,-0.4,0.3,4300.0,-1900.0,2100.0,-0.05,-0.31,0.26,86.0,-12.0,19.0,36.5,-5.6,8.2,,,,0.69,-0.27,0.26,0.05,,,0.9462,,,82.0,-11.0,17.0
GW200112_155838-v1,GW200112_155838,1,GWTC-3-confident,1262879936.0,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250.0,-460.0,430.0,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,,,,0.24,-0.08,0.07,1e-05,,,0.99,,,60.8,-4.3,5.3
GW200115_042309-v2,GW200115_042309,2,GWTC-3-confident,1263097407.7,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,5.9,-2.5,2.0,1.44,-0.29,0.85,11.3,-0.5,0.3,290.0,-100.0,150.0,-0.15,-0.42,0.24,7.4,-1.7,1.8,2.43,-0.07,0.05,,,,0.06,-0.02,0.03,1e-05,,,0.99,,,7.2,-1.7,1.8
GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213229.9,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400.0,-1800.0,2100.0,0.12,-0.25,0.24,75.0,-12.0,17.0,32.0,-5.5,7.5,,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71.0,-11.0,16.0
GW200129_065458-v1,GW200129_065458,1,GWTC-3-confident,1264316116.4,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,34.5,-3.2,9.9,28.9,-9.3,3.4,26.8,-0.2,0.2,900.0,-380.0,290.0,0.11,-0.16,0.11,63.4,-3.6,4.3,27.2,-2.3,2.1,,,,0.18,-0.07,0.05,1e-05,,,0.99,,,60.3,-3.3,4.0
